Эпизод: 246/1000 | Награда (Очки): 142.0 | Epsilon: 0.01
Эпизод: 247/1000 | Награда (Очки): 110.0 | Epsilon: 0.01
Эпизод: 248/1000 | Награда (Очки): 123.0 | Epsilon: 0.01
Эпизод: 249/1000 | Награда (Очки): 131.0 | Epsilon: 0.01
Эпизод: 250/1000 | Награда (Очки): 108.0 | Epsilon: 0.01
Эпизод: 251/1000 | Награда (Очки): 82.0 | Epsilon: 0.01
Эпизод: 252/1000 | Награда (Очки): 150.0 | Epsilon: 0.01
Эпизод: 253/1000 | Награда (Очки): 322.0 | Epsilon: 0.01
Эпизод: 254/1000 | Награда (Очки): 86.0 | Epsilon: 0.01
Эпизод: 255/1000 | Награда (Очки): 102.0 | Epsilon: 0.01
Эпизод: 256/1000 | Награда (Очки): 110.0 | Epsilon: 0.01
Эпизод: 257/1000 | Награда (Очки): 82.0 | Epsilon: 0.01
Эпизод: 258/1000 | Награда (Очки): 66.0 | Epsilon: 0.01
Эпизод: 259/1000 | Награда (Очки): 87.0 | Epsilon: 0.01
Эпизод: 260/1000 | Награда (Очки): 98.0 | Epsilon: 0.01
Эпизод: 261/1000 | Награда (Очки): 93.0 | Epsilon: 0.01
Эпизод: 262/1000 | Награда (Очки): 74.0 | Epsilon: 0.01
Эпизод: 263/1000 | Награда (Очки): 66.0 | Epsilon: 0.01
Эпизод: 264/1000 | Награда (Очки): 74.0 | Epsilon: 0.01
Эпизод: 265/1000 | Награда (Очки): 74.0 | Epsilon: 0.01
Эпизод: 266/1000 | Награда (Очки): 172.0 | Epsilon: 0.01
Эпизод: 267/1000 | Награда (Очки): 86.0 | Epsilon: 0.01
Эпизод: 268/1000 | Награда (Очки): 62.0 | Epsilon: 0.01
Эпизод: 269/1000 | Награда (Очки): 72.0 | Epsilon: 0.01
Эпизод: 270/1000 | Награда (Очки): 66.0 | Epsilon: 0.01
Эпизод: 271/1000 | Награда (Очки): 63.0 | Epsilon: 0.01
Эпизод: 272/1000 | Награда (Очки): 102.0 | Epsilon: 0.01
Эпизод: 273/1000 | Награда (Очки): 47.0 | Epsilon: 0.01
Эпизод: 274/1000 | Награда (Очки): 78.0 | Epsilon: 0.01
Эпизод: 275/1000 | Награда (Очки): 248.0 | Epsilon: 0.01
Эпизод: 276/1000 | Награда (Очки): 231.0 | Epsilon: 0.01
Эпизод: 277/1000 | Награда (Очки): 69.0 | Epsilon: 0.01
Эпизод: 278/1000 | Награда (Очки): 48.0 | Epsilon: 0.01
Эпизод: 279/1000 | Награда (Очки): 58.0 | Epsilon: 0.01
Эпизод: 280/1000 | Награда (Очки): 87.0 | Epsilon: 0.01
Эпизод: 281/1000 | Награда (Очки): 59.0 | Epsilon: 0.01
Эпизод: 282/1000 | Награда (Очки): 51.0 | Epsilon: 0.01
Эпизод: 283/1000 | Награда (Очки): 57.0 | Epsilon: 0.01
Эпизод: 284/1000 | Награда (Очки): 66.0 | Epsilon: 0.01
Эпизод: 285/1000 | Награда (Очки): 59.0 | Epsilon: 0.01
Эпизод: 286/1000 | Награда (Очки): 57.0 | Epsilon: 0.01
Эпизод: 287/1000 | Награда (Очки): 52.0 | Epsilon: 0.01
Эпизод: 288/1000 | Награда (Очки): 86.0 | Epsilon: 0.01
Эпизод: 289/1000 | Награда (Очки): 76.0 | Epsilon: 0.01
Эпизод: 290/1000 | Награда (Очки): 92.0 | Epsilon: 0.01
Эпизод: 291/1000 | Награда (Очки): 43.0 | Epsilon: 0.01
Эпизод: 292/1000 | Награда (Очки): 72.0 | Epsilon: 0.01
Эпизод: 293/1000 | Награда (Очки): 86.0 | Epsilon: 0.01
Эпизод: 294/1000 | Награда (Очки): 78.0 | Epsilon: 0.01
Эпизод: 295/1000 | Награда (Очки): 62.0 | Epsilon: 0.01
Эпизод: 296/1000 | Награда (Очки): 54.0 | Epsilon: 0.01
Эпизод: 297/1000 | Награда (Очки): 138.0 | Epsilon: 0.01
Эпизод: 298/1000 | Награда (Очки): 80.0 | Epsilon: 0.01
Эпизод: 299/1000 | Награда (Очки): 98.0 | Epsilon: 0.01
Эпизод: 300/1000 | Награда (Очки): 40.0 | Epsilon: 0.01
Эпизод: 301/1000 | Награда (Очки): 77.0 | Epsilon: 0.01
Эпизод: 302/1000 | Награда (Очки): 37.0 | Epsilon: 0.01
Эпизод: 303/1000 | Награда (Очки): 66.0 | Epsilon: 0.01
Эпизод: 304/1000 | Награда (Очки): 33.0 | Epsilon: 0.01
Эпизод: 305/1000 | Награда (Очки): 56.0 | Epsilon: 0.01
Эпизод: 306/1000 | Награда (Очки): 54.0 | Epsilon: 0.01
Эпизод: 307/1000 | Награда (Очки): 63.0 | Epsilon: 0.01
Эпизод: 308/1000 | Награда (Очки): 71.0 | Epsilon: 0.01
Эпизод: 309/1000 | Награда (Очки): 42.0 | Epsilon: 0.01
Эпизод: 310/1000 | Награда (Очки): 54.0 | Epsilon: 0.01
Эпизод: 311/1000 | Награда (Очки): 37.0 | Epsilon: 0.01
Эпизод: 312/1000 | Награда (Очки): 44.0 | Epsilon: 0.01
Эпизод: 313/1000 | Награда (Очки): 37.0 | Epsilon: 0.01
Эпизод: 314/1000 | Награда (Очки): 48.0 | Epsilon: 0.01
Эпизод: 315/1000 | Награда (Очки): 40.0 | Epsilon: 0.01
Эпизод: 316/1000 | Награда (Очки): 40.0 | Epsilon: 0.01
Эпизод: 317/1000 | Награда (Очки): 81.0 | Epsilon: 0.01
Эпизод: 318/1000 | Награда (Очки): 39.0 | Epsilon: 0.01
Эпизод: 319/1000 | Награда (Очки): 111.0 | Epsilon: 0.01
Эпизод: 320/1000 | Награда (Очки): 32.0 | Epsilon: 0.01
Эпизод: 321/1000 | Награда (Очки): 59.0 | Epsilon: 0.01
Эпизод: 322/1000 | Награда (Очки): 41.0 | Epsilon: 0.01
Эпизод: 323/1000 | Награда (Очки): 29.0 | Epsilon: 0.01
Эпизод: 324/1000 | Награда (Очки): 38.0 | Epsilon: 0.01
Эпизод: 325/1000 | Награда (Очки): 41.0 | Epsilon: 0.01
Эпизод: 326/1000 | Награда (Очки): 40.0 | Epsilon: 0.01
Эпизод: 327/1000 | Награда (Очки): 29.0 | Epsilon: 0.01
Эпизод: 328/1000 | Награда (Очки): 32.0 | Epsilon: 0.01
Эпизод: 329/1000 | Награда (Очки): 33.0 | Epsilon: 0.01
Эпизод: 330/1000 | Награда (Очки): 35.0 | Epsilon: 0.01
Эпизод: 331/1000 | Награда (Очки): 37.0 | Epsilon: 0.01
Эпизод: 332/1000 | Награда (Очки): 35.0 | Epsilon: 0.01
Эпизод: 333/1000 | Награда (Очки): 34.0 | Epsilon: 0.01
Эпизод: 334/1000 | Награда (Очки): 31.0 | Epsilon: 0.01
Эпизод: 335/1000 | Награда (Очки): 31.0 | Epsilon: 0.01
Эпизод: 336/1000 | Награда (Очки): 38.0 | Epsilon: 0.01
Эпизод: 337/1000 | Награда (Очки): 47.0 | Epsilon: 0.01
Эпизод: 338/1000 | Награда (Очки): 32.0 | Epsilon: 0.01
Эпизод: 339/1000 | Награда (Очки): 49.0 | Epsilon: 0.01
Эпизод: 340/1000 | Награда (Очки): 55.0 | Epsilon: 0.01
Эпизод: 341/1000 | Награда (Очки): 54.0 | Epsilon: 0.01
Эпизод: 342/1000 | Награда (Очки): 97.0 | Epsilon: 0.01
Эпизод: 343/1000 | Награда (Очки): 52.0 | Epsilon: 0.01
Эпизод: 344/1000 | Награда (Очки): 35.0 | Epsilon: 0.01
Эпизод: 345/1000 | Награда (Очки): 118.0 | Epsilon: 0.01
Эпизод: 346/1000 | Награда (Очки): 61.0 | Epsilon: 0.01
Эпизод: 347/1000 | Награда (Очки): 46.0 | Epsilon: 0.01
Эпизод: 348/1000 | Награда (Очки): 61.0 | Epsilon: 0.01
Эпизод: 349/1000 | Награда (Очки): 59.0 | Epsilon: 0.01
Эпизод: 350/1000 | Награда (Очки): 39.0 | Epsilon: 0.01
Эпизод: 351/1000 | Награда (Очки): 47.0 | Epsilon: 0.01
Эпизод: 352/1000 | Награда (Очки): 170.0 | Epsilon: 0.01
Эпизод: 353/1000 | Награда (Очки): 48.0 | Epsilon: 0.01
Эпизод: 354/1000 | Награда (Очки): 60.0 | Epsilon: 0.01
Эпизод: 355/1000 | Награда (Очки): 164.0 | Epsilon: 0.01
Эпизод: 356/1000 | Награда (Очки): 63.0 | Epsilon: 0.01
Эпизод: 357/1000 | Награда (Очки): 91.0 | Epsilon: 0.01
Эпизод: 358/1000 | Награда (Очки): 157.0 | Epsilon: 0.01
Эпизод: 359/1000 | Награда (Очки): 120.0 | Epsilon: 0.01
Эпизод: 360/1000 | Награда (Очки): 61.0 | Epsilon: 0.01
Эпизод: 361/1000 | Награда (Очки): 153.0 | Epsilon: 0.01
Эпизод: 362/1000 | Награда (Очки): 110.0 | Epsilon: 0.01
Эпизод: 363/1000 | Награда (Очки): 138.0 | Epsilon: 0.01
Эпизод: 364/1000 | Награда (Очки): 134.0 | Epsilon: 0.01
Эпизод: 365/1000 | Награда (Очки): 152.0 | Epsilon: 0.01
Эпизод: 366/1000 | Награда (Очки): 109.0 | Epsilon: 0.01
Эпизод: 367/1000 | Награда (Очки): 114.0 | Epsilon: 0.01
Эпизод: 368/1000 | Награда (Очки): 122.0 | Epsilon: 0.01
