Эпизод: 302/500 | Награда (Очки): 92.0 | Epsilon: 0.01
Эпизод: 303/500 | Награда (Очки): 84.0 | Epsilon: 0.01
Эпизод: 304/500 | Награда (Очки): 80.0 | Epsilon: 0.01
Эпизод: 305/500 | Награда (Очки): 95.0 | Epsilon: 0.01
Эпизод: 306/500 | Награда (Очки): 66.0 | Epsilon: 0.01
Эпизод: 307/500 | Награда (Очки): 62.0 | Epsilon: 0.01
Эпизод: 308/500 | Награда (Очки): 73.0 | Epsilon: 0.01
Эпизод: 309/500 | Награда (Очки): 67.0 | Epsilon: 0.01
Эпизод: 310/500 | Награда (Очки): 71.0 | Epsilon: 0.01
Эпизод: 311/500 | Награда (Очки): 64.0 | Epsilon: 0.01
Эпизод: 312/500 | Награда (Очки): 75.0 | Epsilon: 0.01
Эпизод: 313/500 | Награда (Очки): 107.0 | Epsilon: 0.01
Эпизод: 314/500 | Награда (Очки): 69.0 | Epsilon: 0.01
Эпизод: 315/500 | Награда (Очки): 175.0 | Epsilon: 0.01
Эпизод: 316/500 | Награда (Очки): 100.0 | Epsilon: 0.01
Эпизод: 317/500 | Награда (Очки): 89.0 | Epsilon: 0.01
Эпизод: 318/500 | Награда (Очки): 137.0 | Epsilon: 0.01
Эпизод: 319/500 | Награда (Очки): 320.0 | Epsilon: 0.01
Эпизод: 320/500 | Награда (Очки): 112.0 | Epsilon: 0.01
Эпизод: 321/500 | Награда (Очки): 98.0 | Epsilon: 0.01
Эпизод: 322/500 | Награда (Очки): 36.0 | Epsilon: 0.01
Эпизод: 323/500 | Награда (Очки): 74.0 | Epsilon: 0.01
Эпизод: 324/500 | Награда (Очки): 73.0 | Epsilon: 0.01
Эпизод: 325/500 | Награда (Очки): 122.0 | Epsilon: 0.01
Эпизод: 326/500 | Награда (Очки): 116.0 | Epsilon: 0.01
Эпизод: 327/500 | Награда (Очки): 146.0 | Epsilon: 0.01
Эпизод: 328/500 | Награда (Очки): 112.0 | Epsilon: 0.01
Эпизод: 329/500 | Награда (Очки): 127.0 | Epsilon: 0.01
Эпизод: 330/500 | Награда (Очки): 106.0 | Epsilon: 0.01
Эпизод: 331/500 | Награда (Очки): 191.0 | Epsilon: 0.01
Эпизод: 332/500 | Награда (Очки): 183.0 | Epsilon: 0.01
Эпизод: 333/500 | Награда (Очки): 162.0 | Epsilon: 0.01
Эпизод: 334/500 | Награда (Очки): 121.0 | Epsilon: 0.01
Эпизод: 335/500 | Награда (Очки): 154.0 | Epsilon: 0.01
Эпизод: 336/500 | Награда (Очки): 147.0 | Epsilon: 0.01
Эпизод: 337/500 | Награда (Очки): 234.0 | Epsilon: 0.01
Эпизод: 338/500 | Награда (Очки): 166.0 | Epsilon: 0.01
Эпизод: 339/500 | Награда (Очки): 140.0 | Epsilon: 0.01
Эпизод: 340/500 | Награда (Очки): 183.0 | Epsilon: 0.01
Эпизод: 341/500 | Награда (Очки): 136.0 | Epsilon: 0.01
Эпизод: 342/500 | Награда (Очки): 147.0 | Epsilon: 0.01
Эпизод: 343/500 | Награда (Очки): 118.0 | Epsilon: 0.01
Эпизод: 344/500 | Награда (Очки): 144.0 | Epsilon: 0.01
Эпизод: 345/500 | Награда (Очки): 106.0 | Epsilon: 0.01
Эпизод: 346/500 | Награда (Очки): 115.0 | Epsilon: 0.01
Эпизод: 347/500 | Награда (Очки): 105.0 | Epsilon: 0.01
Эпизод: 348/500 | Награда (Очки): 120.0 | Epsilon: 0.01
Эпизод: 349/500 | Награда (Очки): 112.0 | Epsilon: 0.01
Эпизод: 350/500 | Награда (Очки): 109.0 | Epsilon: 0.01
Эпизод: 351/500 | Награда (Очки): 115.0 | Epsilon: 0.01
Эпизод: 352/500 | Награда (Очки): 124.0 | Epsilon: 0.01
Эпизод: 353/500 | Награда (Очки): 107.0 | Epsilon: 0.01
Эпизод: 354/500 | Награда (Очки): 128.0 | Epsilon: 0.01
Эпизод: 355/500 | Награда (Очки): 117.0 | Epsilon: 0.01
Эпизод: 356/500 | Награда (Очки): 129.0 | Epsilon: 0.01
Эпизод: 357/500 | Награда (Очки): 132.0 | Epsilon: 0.01
Эпизод: 358/500 | Награда (Очки): 132.0 | Epsilon: 0.01
Эпизод: 359/500 | Награда (Очки): 101.0 | Epsilon: 0.01
Эпизод: 360/500 | Награда (Очки): 104.0 | Epsilon: 0.01
Эпизод: 361/500 | Награда (Очки): 162.0 | Epsilon: 0.01
Эпизод: 362/500 | Награда (Очки): 130.0 | Epsilon: 0.01
Эпизод: 363/500 | Награда (Очки): 128.0 | Epsilon: 0.01
Эпизод: 364/500 | Награда (Очки): 127.0 | Epsilon: 0.01
Эпизод: 365/500 | Награда (Очки): 131.0 | Epsilon: 0.01
Эпизод: 366/500 | Награда (Очки): 148.0 | Epsilon: 0.01
Эпизод: 367/500 | Награда (Очки): 141.0 | Epsilon: 0.01
Эпизод: 368/500 | Награда (Очки): 167.0 | Epsilon: 0.01
Эпизод: 369/500 | Награда (Очки): 115.0 | Epsilon: 0.01
Эпизод: 370/500 | Награда (Очки): 160.0 | Epsilon: 0.01
Эпизод: 371/500 | Награда (Очки): 324.0 | Epsilon: 0.01
Эпизод: 372/500 | Награда (Очки): 140.0 | Epsilon: 0.01
Эпизод: 373/500 | Награда (Очки): 129.0 | Epsilon: 0.01
Эпизод: 374/500 | Награда (Очки): 242.0 | Epsilon: 0.01
Эпизод: 375/500 | Награда (Очки): 164.0 | Epsilon: 0.01
Эпизод: 376/500 | Награда (Очки): 309.0 | Epsilon: 0.01
Эпизод: 377/500 | Награда (Очки): 113.0 | Epsilon: 0.01
Эпизод: 378/500 | Награда (Очки): 135.0 | Epsilon: 0.01
